metric,method,datasets,average_rank,rank_std
OA,FCM,9,3.888888888888889,1.69148192751537
OA,Graph-RMS,9,1.8888888888888888,1.4529663145135578
OA,MiniBatch-KMeans,9,3.4444444444444446,0.7264831572567788
OA,PCA-KMeans,9,3.2222222222222223,0.9718253158075502
OA,SLIC-KMeans,9,2.555555555555556,1.4240006242195886
BA,FCM,9,3.4444444444444446,1.5092308563562362
BA,Graph-RMS,9,2.4444444444444446,1.7400510848184252
BA,MiniBatch-KMeans,9,3.2222222222222223,0.6666666666666667
BA,PCA-KMeans,9,3.333333333333333,1.5
BA,SLIC-KMeans,9,2.555555555555556,1.5092308563562362
NMI,FCM,9,4.111111111111111,1.2692955176439846
NMI,Graph-RMS,9,1.0,0.0
NMI,MiniBatch-KMeans,9,3.6666666666666665,0.4999999999999999
NMI,PCA-KMeans,9,3.555555555555556,1.130388330520878
NMI,SLIC-KMeans,9,2.6666666666666665,1.118033988749895
ARI,FCM,9,3.7777777777777777,1.4813657362192647
ARI,Graph-RMS,9,1.7777777777777777,1.3944333775567928
ARI,MiniBatch-KMeans,9,3.4444444444444446,0.7264831572567788
ARI,PCA-KMeans,9,3.4444444444444446,1.2360330811826106
ARI,SLIC-KMeans,9,2.555555555555556,1.4240006242195886
