dataset,method,uses_true_k,uses_labels_for_selection,n_repeats,overall_accuracy_mean,overall_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,kappa_mean,kappa_std,nmi_mean,nmi_std,ami_mean,ami_std,ari_mean,ari_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std,v_measure_mean,v_measure_std,n_pred_clusters_mean,n_pred_clusters_std,tiny_cluster_pixel_fraction_mean,tiny_cluster_pixel_fraction_std,n_clusters_full_mean,n_clusters_full_std,n_clusters_labeled_mean,n_clusters_labeled_std,n_clusters_full_excluding_noise_mean,n_clusters_full_excluding_noise_std,n_clusters_labeled_excluding_noise_mean,n_clusters_labeled_excluding_noise_std,runtime_seconds_mean,runtime_seconds_std,peak_rss_mb_mean,peak_rss_mb_std,noise_fraction_full_mean,noise_fraction_full_std,noise_fraction_labeled_mean,noise_fraction_labeled_std
botswana,HDBSCAN,False,False,1,0.10868226600985222,0.0,0.10075187969924812,0.0,0.0145576332179016,0.0,0.04070217713671816,0.0,0.0365330603528321,0.0,0.00400190232439349,0.0,0.02115508485686322,0.0,0.5354863097616854,0.0,0.04070217713671815,0.0,4.0,0.0,0.003078817733990148,0.0,16.0,0.0,4.0,0.0,15.0,0.0,3.0,0.0,3098.8595268789995,0.0,1468.489728,0.0,0.0035595570799457996,0.0,0.01539408866995074,0.0
botswana,Leiden,False,False,5,0.45751231527093594,0.02019502610665963,0.4466129464671537,0.023990598042269714,0.43149944687318803,0.021715226523060138,0.7658271346897754,0.012437328856997934,0.7582494852905121,0.013129668639728927,0.49596959183709827,0.022772666989913648,0.8757137795787784,0.015564069888589308,0.6804508538471052,0.010472182010049458,0.7658271346897754,0.012437328856997892,48.0,1.8708286933869707,0.023275862068965515,0.003473746972307471,167.6,0.8944271909999159,48.0,1.8708286933869707,,,,,31.456019945799834,0.10396649970330894,1512.9624576,24.569417631564843,,,,
indian_pines,HDBSCAN,False,False,1,0.24099912186554787,0.0,0.07271710401126341,0.0,0.002834943026667869,0.0,0.006116091099494574,0.0,0.005325902587615672,0.0,0.0012016710380113843,0.0,0.0030856490861302,0.0,0.3418422670568902,0.0,0.006116091099494575,0.0,3.0,0.0,0.0030246853351546493,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,9.127460800000335,0.0,326.746112,0.0,0.006373365041617123,0.0,0.002927114840472241,0.0
indian_pines,Leiden,False,False,5,0.38657429993170067,0.007343759807857815,0.6101877687838748,0.006837161763503078,0.3618103004392556,0.007021269336047436,0.6960377433604064,0.0018729744291610844,0.6918077604303697,0.001980292582144171,0.292836692465986,0.008949990855057805,0.9077532341616417,0.0011707121994675622,0.5644089746620711,0.0028723794425233274,0.6960377433604064,0.0018729744291610488,60.0,2.345207879911715,0.031827495365401505,0.007204178774151908,87.2,0.8366600265340756,60.0,2.345207879911715,,,,,1.352924927800018,0.004241664444790708,344.334336,1.2567179498105427,,,,
ksc,HDBSCAN,False,False,1,0.1356745346382652,0.0,0.08129864072500623,0.0,0.03394913131402433,0.0,0.2855640011170095,0.0,0.1049159814843575,0.0,-0.003950189297817348,0.0,0.2946603605393613,0.0,0.2770124444878341,0.0,0.2855640011170095,0.0,862.0,0.0,0.27998464786029553,0.0,6650.0,0.0,862.0,0.0,6649.0,0.0,861.0,0.0,1873.5815304070002,0.0,1316.724736,0.0,0.7000203583061889,0.0,0.6925734024179621,0.0
ksc,Leiden,False,False,5,0.5425829975052773,0.005063806762486601,0.6078783428447919,0.005531701670996101,0.5159966438016644,0.005068046218435935,0.7708641281341657,0.0073717451787093016,0.7655260676121918,0.007519022296083283,0.5090532551035595,0.013870455253942355,0.9041536822759808,0.013020781723976265,0.671870476534377,0.006364702331369682,0.7708641281341657,0.0073717451787093475,83.8,1.7888543819998317,0.023757436192669353,0.0016135730577300255,13934.0,2.8284271247461903,83.8,1.7888543819998317,,,,,28.324857110600057,0.18602958023806235,1033.9713024,25.39690120340598,,,,
pavia_university,HDBSCAN,False,False,1,0.4360389003179353,0.0,0.11120039425898093,0.0,0.00017782376625152807,0.0,0.00022378155675213042,0.0,9.26969776825252e-05,0.0,7.576582586525058e-05,0.0,0.00011195631282873545,0.0,0.19114951717922307,0.0,0.0002237815567521304,0.0,3.0,0.0,9.35103796521414e-05,0.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,880.0035077940001,0.0,768.724992,0.0,0.0006991321118611379,0.0,4.67551898260707e-05,0.0
pavia_university,Leiden,False,False,5,0.43651112773517864,0.028382828386381693,0.4267860852582821,0.012429259251327127,0.36847113013211147,0.02293717774010905,0.6614639277215504,0.011786174221729909,0.6606411017146507,0.011792686463191546,0.37099311356204245,0.04373937064539585,0.913231021720662,0.00726168690964051,0.5185687289937607,0.012563402774544426,0.6614639277215504,0.01178617422172991,66.4,2.073644135332772,0.03284084533383205,0.0014855721227626656,466.6,3.646916505762094,66.4,2.073644135332772,,,,,16.32375902339995,0.2146231966359532,805.6799232,20.89893647230698,,,,
salinas_a,HDBSCAN,False,False,1,0.4214659685863874,0.0,0.44197563336630513,0.0,0.3223970093710845,0.0,0.5230856748105446,0.0,0.5107932397340236,0.0,0.23448301680007763,0.0,0.693381818680076,0.0,0.4199459894228779,0.0,0.5230856748105446,0.0,111.0,0.0,0.14304412864622287,0.0,126.0,0.0,111.0,0.0,125.0,0.0,110.0,0.0,1.9093382569999449,0.0,254.640128,0.0,0.3789576912300364,0.0,0.34966342557965596,0.0
salinas_a,Leiden,False,False,5,0.874046372475692,0.0013327247330744629,0.9009706046141469,0.0008749437806064353,0.8477818017504483,0.0015481523955949848,0.9177284904035332,0.0002456668876328274,0.9175269487751375,0.00024625899833607804,0.8738036477861162,0.00048697045630514914,0.9831351294081445,0.00024747935069140343,0.8604818288922893,0.00028167499229197297,0.9177284904035334,0.0002456668876328146,11.0,0.0,0.00037397157816005983,0.0,13.0,0.0,11.0,0.0,,,,,0.41716578279999794,0.0022047500770390155,300.4882944,0.2465199982086622,,,,
trento,HDBSCAN,False,False,1,0.40153571192162574,0.0,0.27357198497104973,0.0,0.12628202861574656,0.0,0.20240597994045953,0.0,0.1973889628083629,0.0,0.09774528966626282,0.0,0.13808969365303486,0.0,0.3788652410346641,0.0,0.20240597994045953,0.0,91.0,0.0,0.01628384192758324,0.0,168.0,0.0,91.0,0.0,167.0,0.0,90.0,0.0,229.55240200499975,0.0,588.320768,0.0,0.923925702811245,0.0,0.870192625934997,0.0
trento,Leiden,False,False,5,0.6321043224995035,0.005201302560702121,0.5525779950375067,0.0057679265048277625,0.5537700404383166,0.005324826795668957,0.7617301016081717,0.009505783829114923,0.7615521141024189,0.009516829996945973,0.7179404112011181,0.02296739991523688,0.8887117894068458,0.00810597123626004,0.6667543800688317,0.017272187986409816,0.7617301016081717,0.009505783829114845,17.2,1.3038404810405297,0.005447805653008539,0.002182360810390546,23.4,1.3416407864998738,17.2,1.3038404810405297,,,,,8.340879618600047,0.06623329204570531,1110.2273536,0.009864474278984837,,,,
