metric,comparison,baseline,datasets,graph_mean,baseline_mean,mean_paired_difference,median_paired_difference,positive_differences,zero_differences,negative_differences,wilcoxon_statistic,pvalue_raw,pvalue_holm,holm_0p05
OA,Graph-RMS vs FCM,FCM,9,0.6357709260443384,0.5013803227510356,0.1343906032933027,0.1007618529880013,6,0,3,6.0,0.0546875,0.4375,False
OA,Graph-RMS vs MiniBatch-KMeans,MiniBatch-KMeans,9,0.6357709260443384,0.5268903995614378,0.1088805264829006,0.0834533383205534,7,0,2,5.0,0.0390625,0.390625,False
OA,Graph-RMS vs PCA-KMeans,PCA-KMeans,9,0.6357709260443384,0.5335734409961342,0.1021974850482041,0.0710164578268186,8,0,1,7.0,0.07421875,0.51953125,False
OA,Graph-RMS vs SLIC-KMeans,SLIC-KMeans,9,0.6357709260443384,0.5629384312510521,0.0728324947932861,0.0630794653420814,7,0,2,10.0,0.1640625,0.8203125,False
BA,Graph-RMS vs FCM,FCM,9,0.5319206532965156,0.4762664249356691,0.0556542283608464,0.0395911716963495,5,0,4,14.0,0.359375,1.0,False
BA,Graph-RMS vs MiniBatch-KMeans,MiniBatch-KMeans,9,0.5319206532965156,0.484539273805421,0.0473813794910945,0.0105729816013295,6,0,3,14.0,0.359375,1.0,False
BA,Graph-RMS vs PCA-KMeans,PCA-KMeans,9,0.5319206532965156,0.4754793745482394,0.0564412787482761,0.0849931966654258,6,0,3,12.0,0.25,1.0,False
BA,Graph-RMS vs SLIC-KMeans,SLIC-KMeans,9,0.5319206532965156,0.5081786250771232,0.0237420282193922,0.0503524213615855,6,0,3,17.0,0.5703125,1.0,False
NMI,Graph-RMS vs FCM,FCM,9,0.7245303757488868,0.5326846866321876,0.1918456891166992,0.1767805777706989,9,0,0,0.0,0.00390625,0.0625,False
NMI,Graph-RMS vs MiniBatch-KMeans,MiniBatch-KMeans,9,0.7245303757488868,0.5428873971994813,0.1816429785494054,0.1566442213484191,9,0,0,0.0,0.00390625,0.0625,False
NMI,Graph-RMS vs PCA-KMeans,PCA-KMeans,9,0.7245303757488868,0.5393903906516704,0.1851399850972165,0.15509212169184,9,0,0,0.0,0.00390625,0.0625,False
NMI,Graph-RMS vs SLIC-KMeans,SLIC-KMeans,9,0.7245303757488868,0.5949703022505122,0.1295600734983746,0.1070624366916861,9,0,0,0.0,0.00390625,0.0625,False
ARI,Graph-RMS vs FCM,FCM,9,0.6085921872583406,0.3840483357715723,0.2245438514867684,0.2070833064415707,7,0,2,4.0,0.02734375,0.30078125,False
ARI,Graph-RMS vs MiniBatch-KMeans,MiniBatch-KMeans,9,0.6085921872583406,0.4019727285127295,0.2066194587456112,0.134867182175731,7,0,2,5.0,0.0390625,0.390625,False
ARI,Graph-RMS vs PCA-KMeans,PCA-KMeans,9,0.6085921872583406,0.3919822161872432,0.2166099710710974,0.1329151298301957,8,0,1,3.0,0.01953125,0.234375,False
ARI,Graph-RMS vs SLIC-KMeans,SLIC-KMeans,9,0.6085921872583406,0.4590765911224989,0.1495155961358418,0.0814661429768858,7,0,2,7.0,0.07421875,0.51953125,False
