prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,1355,0.34169101456639567,0.4885830659805481,0.01181931741192412,,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7033617430004885,0.2796670414525701,60
0.05,1340,0.34169101456639567,0.48927237853598426,0.011607596544715448,0.999999855283408,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7033617430004885,0.2796670414525701,60
0.1,1298,0.34169101456639567,0.49121348491199146,0.01079247120596206,0.999999454011973,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7035913418557304,0.27969533529022783,59
0.15,1220,0.34169101456639567,0.4951007375525106,0.010215531842818428,0.9999988407313252,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7039607625268516,0.2797493484604172,58
0.2,1129,0.34169101456639567,0.49980653310859713,0.009138401930894309,0.999995930987395,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7043430540008375,0.27981621765789444,57
0.25,1035,0.34169101456639567,0.5051785667784285,0.007576960535230352,0.9999949405985799,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7044850296431117,0.2798303624623604,56
0.3,911,0.34169101456639567,0.5129758027198464,0.005435933265582656,0.9999704272084692,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7044850296431117,0.2798303624623604,56
0.35,825,0.34169101456639567,0.5187501666633626,0.004088859247967479,0.999969587819664,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7046443988046251,0.2798522222007687,55
0.4,684,0.34169101456639567,0.5294507870133993,0.002196603997289973,0.9999309176161141,0.36299261083743845,0.35812354117681033,0.32102454879701103,0.7047559969024428,0.2798586514399365,54
0.45,544,0.34169101456639567,0.5428698140709017,0.0008283578929539295,0.9998735976280444,0.36637931034482757,0.36104441212742105,0.324432402702479,0.7086838387707505,0.283227204696281,50
0.5,409,0.34169101456639567,0.559223071841265,0.00038109756097560977,0.9997450892169942,0.36637931034482757,0.36104441212742105,0.3253697763442652,0.7086838387707504,0.283227204696281,50
0.55,159,0.34169101456639567,0.6128837279073434,6.351626016260163e-05,0.9969529393163348,0.3691502463054187,0.36367864382569215,0.3267163182229197,0.7136880997104816,0.28704753442194636,42
0.6,47,0.34169101456639567,0.680281590315947,4.234417344173442e-05,0.9804760793937541,0.42395320197044334,0.41580751228073226,0.3806911221165029,0.7138074355578918,0.3084943685595811,23
0.65,38,0.34169101456639567,0.6891647309199974,4.234417344173442e-05,0.9867878758532151,0.4498152709359606,0.438112344994487,0.4068054036304166,0.7166020599989423,0.3234322867601792,21
0.7,1,1.0,0.0,0.0,0.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
0.75,1,1.0,0.0,0.0,1.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
1.0,1,1.0,0.0,0.0,1.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
1.5,1,1.0,0.0,0.0,1.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
2.0,1,1.0,0.0,0.0,1.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
3.0,1,1.0,0.0,0.0,1.0,0.09667487684729065,0.07142857142857142,0.0,0.0,0.0,1
