prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,692,0.39198167791706845,0.5527646716643868,0.007931533269045324,,0.6193659996259585,0.45252944572361703,0.4685048574416726,0.6602410127948348,0.5116910136861955,161
0.05,690,0.39198167791706845,0.5529959495147685,0.007912246865959498,0.9999999415226118,0.6193659996259585,0.45252944572361703,0.4685048574416726,0.6602410127948348,0.5116910136861955,161
0.1,664,0.39198167791706845,0.5560142292986368,0.007690453230472517,0.9999984102956532,0.6193659996259585,0.45252944572361703,0.4685048574416726,0.6606439717857074,0.511698725932442,159
0.15,610,0.39198167791706845,0.5624973719927656,0.006509161041465767,0.9999925889735469,0.6193659996259585,0.45252944572361703,0.4685048574416726,0.6615944942851669,0.5117188659842048,152
0.2,544,0.39198167791706845,0.5708026832064445,0.005265188042430087,0.9999636875422352,0.6200439498784365,0.4549251499780573,0.46943571522127514,0.6630991737137648,0.5117660344033949,142
0.25,487,0.39198167791706845,0.5782303380986966,0.0032160077145612343,0.9999419379150528,0.624392182532261,0.4702907014030882,0.475407362218509,0.6659910691573105,0.5119336276621058,130
0.3,435,0.39198167791706845,0.5850500910785824,0.0024108003857280617,0.9998946794280529,0.624392182532261,0.4702907014030882,0.475407362218509,0.6677054665767341,0.5120300325589865,126
0.35,373,0.39198167791706845,0.5944728994086995,0.0012246865959498554,0.9998167296552507,0.6244856929119132,0.47076001971823556,0.47553606798930625,0.6697990462411533,0.5121070755581557,114
0.4,333,0.39198167791706845,0.6006549083156345,0.0008389585342333654,0.9992518434181973,0.6279923321488685,0.4752865451573085,0.48021451017586037,0.6731695140510319,0.512963040409106,109
0.45,269,0.39198167791706845,0.6144130249827449,0.0003760848601735776,0.9997091754176716,0.6284832616420423,0.47775046631183155,0.4807430808568741,0.6753791620550484,0.5130221907377858,97
0.5,229,0.39198167791706845,0.6237832027197114,0.0003760848601735776,0.999602836889345,0.6296988965775201,0.47963616401998366,0.4823791392586546,0.6777357030466675,0.5131945640825082,88
0.55,220,0.39198167791706845,0.6259016839656999,0.0003760848601735776,0.9998929069527882,0.6328081167009538,0.49524099799862964,0.486675933305838,0.6788349173731638,0.5132623211106373,85
0.6,214,0.39198167791706845,0.6273316968022429,0.0003760848601735776,0.9999279023671064,0.6328081167009538,0.49524099799862964,0.486675933305838,0.6798624137570417,0.5133093087060108,81
0.65,212,0.39198167791706845,0.6268528968656034,0.0003760848601735776,0.9998380922970277,0.6328081167009538,0.49524099799862964,0.486675933305838,0.6802100002640555,0.5133194998009776,80
0.7,211,0.39198167791706845,0.6269825936496551,0.0003760848601735776,0.99998051859254,0.6328081167009538,0.49524099799862964,0.486675933305838,0.6805521435456136,0.5133302405056562,79
0.75,210,0.39198167791706845,0.626954426718998,0.0003760848601735776,0.9999510315416565,0.6328081167009538,0.49524099799862964,0.486675933305838,0.6805521435456136,0.5133302405056562,79
1.0,208,0.39198167791706845,0.6274415570106877,0.0003760848601735776,0.999971124407296,0.6353328969515616,0.4991574470847915,0.49007658742740823,0.6821704388583573,0.5134747614546904,77
1.5,207,0.39198167791706845,0.6274390951122266,0.0003760848601735776,0.9999647882773499,0.6364783991023003,0.5009343545405501,0.4916200440559356,0.6836429337225108,0.5136556317923918,76
2.0,207,0.39198167791706845,0.6274390951122266,0.0003760848601735776,1.0,0.6364783991023003,0.5009343545405501,0.4916200440559356,0.6836429337225108,0.5136556317923918,76
3.0,207,0.39198167791706845,0.6274390951122266,0.0003760848601735776,1.0,0.6364783991023003,0.5009343545405501,0.4916200440559356,0.6836429337225108,0.5136556317923918,76
