prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,303,0.31627272727272726,0.4329018097912085,0.004695454545454545,,0.690205434580673,0.5539086165298287,0.6179106842189085,0.7506071702729866,0.7194905833782933,193
0.05,301,0.31627272727272726,0.43340194156967676,0.004695454545454545,0.9999999996921686,0.690205434580673,0.5539086165298287,0.6179106842189085,0.750608441115466,0.7194905835451817,192
0.1,298,0.31627272727272726,0.43403129609719865,0.004695454545454545,0.9999962980280085,0.690205434580673,0.5539086165298287,0.6179106842189085,0.7507518832462993,0.7194945594879414,190
0.15,280,0.31627272727272726,0.4360083974019763,0.004195454545454546,0.9993919757401014,0.6942290580907589,0.5667447260812667,0.6228392696233942,0.7527238626973424,0.719663838418162,179
0.2,263,0.31627272727272726,0.43978255465993943,0.004,0.9999666554345628,0.6942681698624243,0.5668508747424669,0.6228867681706087,0.7537478424516646,0.7196944881721948,167
0.3,221,0.31627272727272726,0.4482115862268146,0.003118181818181818,0.9987261487499351,0.7012447321332538,0.5891027534761741,0.631373480003061,0.7578866589262955,0.720204000257484,143
0.5,110,0.3267318181818182,0.4269936578731758,0.0013863636363636363,0.7992398252467208,0.8109581406263751,0.5497125911408385,0.7538143116023008,0.8078669514573277,0.8260649967194518,77
0.75,42,0.8617863636363636,0.17740862344950628,0.0006636363636363636,0.1772888943324465,0.4158070225186025,0.22855477850641137,0.1721992956209728,0.3269025114026341,0.1297285994691564,30
1.0,17,0.9792318181818181,0.04507113645099669,0.00041363636363636364,0.22360760547768926,0.3443987054003579,0.1580065275687894,0.032126006009196684,0.0664712945359386,0.019531704208915937,14
1.5,7,0.9995409090909091,0.002380670090857847,0.00023181818181818183,0.04212936373495679,0.3280744297014794,0.11179231706159744,0.0004952513656037993,0.0013907095563572525,0.00035167264178534446,6
2.0,2,0.9999863636363636,0.00024006636122947902,1.3636363636363637e-05,0.057658525696889264,0.3278348701000284,0.1111111111111111,0.0,0.0,0.0,1
3.0,2,0.9999863636363636,0.00024006636122947902,1.3636363636363637e-05,1.0,0.3278348701000284,0.1111111111111111,0.0,0.0,0.0,1
