stability_min,compression_max,beta_agreement_min,coverage,mean_OA,mean_BA,mean_NMI,mean_ARI,structural_score
0.8,0.85,0.5,8,0.574435460669256,0.5383551066811946,0.7239183090352643,0.5813199444346115,0.6526191267349379
0.8,0.85,0.6,8,0.574435460669256,0.5383551066811946,0.7239183090352643,0.5813199444346115,0.6526191267349379
0.8,0.85,0.7,8,0.574435460669256,0.5383551066811946,0.7239183090352643,0.5813199444346115,0.6526191267349379
0.8,0.85,0.8,8,0.574435460669256,0.5383551066811946,0.7239183090352643,0.5813199444346115,0.6526191267349379
0.8,0.85,0.9,8,0.574435460669256,0.5383551066811946,0.7239183090352643,0.5813199444346115,0.6526191267349379
0.8,0.9,0.5,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.9,0.6,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.9,0.7,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.9,0.8,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.9,0.9,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.95,0.5,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.95,0.6,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.95,0.7,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.95,0.8,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.8,0.95,0.9,8,0.5742478463895482,0.5461311817371246,0.724312015331538,0.5789586700627475,0.6516353426971426
0.825,0.85,0.5,7,0.5520153760737524,0.5386538489750944,0.7182173023322195,0.5422654119904733,0.6302413571613463
0.825,0.85,0.6,7,0.5520153760737524,0.5386538489750944,0.7182173023322195,0.5422654119904733,0.6302413571613463
0.825,0.85,0.7,7,0.5520153760737524,0.5386538489750944,0.7182173023322195,0.5422654119904733,0.6302413571613463
0.825,0.85,0.8,7,0.5520153760737524,0.5386538489750944,0.7182173023322195,0.5422654119904733,0.6302413571613463
0.825,0.85,0.9,7,0.5520153760737524,0.5386538489750944,0.7182173023322195,0.5422654119904733,0.6302413571613463
0.825,0.9,0.5,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.9,0.6,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.9,0.7,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.9,0.8,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.9,0.9,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.95,0.5,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.95,0.6,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.95,0.7,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.95,0.8,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.825,0.95,0.9,7,0.5518009597540864,0.5475407918961572,0.7186672523851035,0.5395668127083428,0.6291170325467231
0.85,0.85,0.5,6,0.559992537154287,0.5347470345303799,0.7257548009276569,0.5597972184234269,0.6427760096755419
0.85,0.85,0.6,6,0.559992537154287,0.5347470345303799,0.7257548009276569,0.5597972184234269,0.6427760096755419
0.85,0.85,0.7,6,0.559992537154287,0.5347470345303799,0.7257548009276569,0.5597972184234269,0.6427760096755419
0.85,0.85,0.8,6,0.559992537154287,0.5347470345303799,0.7257548009276569,0.5597972184234269,0.6427760096755419
0.85,0.85,0.9,6,0.559992537154287,0.5347470345303799,0.7257548009276569,0.5597972184234269,0.6427760096755419
0.85,0.9,0.5,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.9,0.6,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.9,0.7,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.9,0.8,6,0.5597423847813433,0.5451151346049533,0.7262797426560218,0.5566488525942747,0.6414642976251482
0.85,0.9,0.9,6,0.5597423847813433,0.5451151346049533,0.7262797426560218,0.5566488525942747,0.6414642976251482
0.85,0.95,0.5,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.95,0.6,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.95,0.7,6,0.5500513465928958,0.5404868539804513,0.7278742349066669,0.56228235922713,0.6450782970668986
0.85,0.95,0.8,6,0.5597423847813433,0.5451151346049533,0.7262797426560218,0.5566488525942747,0.6414642976251482
0.85,0.95,0.9,6,0.5597423847813433,0.5451151346049533,0.7262797426560218,0.5566488525942747,0.6414642976251482
0.875,0.85,0.5,3,0.6400918493187039,0.6639932833069874,0.7675359301702903,0.5761953844182551,0.6718656572942728
0.875,0.85,0.6,3,0.6400918493187039,0.6639932833069874,0.7675359301702903,0.5761953844182551,0.6718656572942728
0.875,0.85,0.7,3,0.6400918493187039,0.6639932833069874,0.7675359301702903,0.5761953844182551,0.6718656572942728
0.875,0.85,0.8,3,0.6400918493187039,0.6639932833069874,0.7675359301702903,0.5761953844182551,0.6718656572942728
0.875,0.85,0.9,3,0.6400918493187039,0.6639932833069874,0.7675359301702903,0.5761953844182551,0.6718656572942728
