dataset,metric,block_size,bootstrap_samples,mean,std,ci95_lower,ci95_upper
salinas_a,overall_accuracy,8,300,0.8118766275250596,0.0328089554130866,0.7438915708898491,0.8739191403289677
salinas_a,balanced_accuracy,8,300,0.7523326030885101,0.0104447843541902,0.7343592828590529,0.7747286020885386
salinas_a,nmi,8,300,0.8674047026935106,0.0155691283821394,0.8335103547090779,0.8961596193904262
salinas_a,ari,8,300,0.7549312962428048,0.0443689138690462,0.6677860391652786,0.8436260259714392
indian_pines,overall_accuracy,8,300,0.4410989249773804,0.0227984522286642,0.401721689457423,0.4906068875163765
indian_pines,balanced_accuracy,8,300,0.4902217138668218,0.0379711684995092,0.4230788037823371,0.5598868261582868
indian_pines,nmi,8,300,0.6027084696834438,0.015038587845508,0.5724422184845835,0.6328025651718084
indian_pines,ari,8,300,0.3189051899802284,0.0267639301861063,0.2696936009014927,0.3745281179440078
ksc,overall_accuracy,28,300,0.509182150151572,0.0595086058063785,0.4006171153843732,0.6218163208265762
ksc,balanced_accuracy,28,300,0.3946502077266874,0.027579327016571,0.3454651319665088,0.458082156053505
ksc,nmi,28,300,0.645803217671171,0.0341892124700534,0.5800942491119528,0.7111323365570466
ksc,ari,28,300,0.3650862446822808,0.0937835413262327,0.2274099874884092,0.5803466270340094
pavia_university,overall_accuracy,23,300,0.6405028716476586,0.0316515154895864,0.5754189464447845,0.6971893624572647
pavia_university,balanced_accuracy,23,300,0.5136460507947824,0.0186333720468396,0.4810855234942872,0.5466932536678917
pavia_university,nmi,23,300,0.688875565370901,0.0183330560012348,0.6524364575584943,0.7229530545937659
pavia_university,ari,23,300,0.516249463894128,0.0365824762348285,0.4497226546535005,0.5938340562147063
whu_hi_longkou,overall_accuracy,23,300,0.8098017051668368,0.0170514261164746,0.7758973815094218,0.8420465923715458
whu_hi_longkou,balanced_accuracy,23,300,0.5496026428511089,0.0146514099675718,0.5199439549304197,0.5833923798536375
whu_hi_longkou,nmi,23,300,0.8105908244806026,0.010873059986992,0.7908631740354819,0.8303721650682007
whu_hi_longkou,ari,23,300,0.8250988392996971,0.0229980780298824,0.7803800439817415,0.8684271333092694
whu_hi_honghu,overall_accuracy,33,300,0.7739664264306464,0.0146827046756858,0.7454055630091975,0.8003566477006346
whu_hi_honghu,balanced_accuracy,33,300,0.620364407504298,0.0212883015092702,0.5749409169503398,0.6605552123648023
whu_hi_honghu,nmi,33,300,0.7726170917326965,0.0088624272035546,0.7566404476685938,0.7894478514176928
whu_hi_honghu,ari,33,300,0.8589043397436249,0.0153054343948721,0.8291200685825856,0.8843594486184922
whu_hi_hanchuan,overall_accuracy,30,300,0.5237740616225013,0.0229409983702764,0.4803592427890225,0.5694718288496743
whu_hi_hanchuan,balanced_accuracy,30,300,0.4104544444980299,0.0253452351187504,0.3702367174396613,0.4662707028685062
whu_hi_hanchuan,nmi,30,300,0.6235462252155549,0.0107521840542988,0.6007951582394109,0.6447566076404312
whu_hi_hanchuan,ari,30,300,0.636458036453106,0.0436140000057004,0.5393969268473181,0.7204951351114033
botswana,overall_accuracy,31,300,0.538247281867599,0.0474169254820369,0.4555371746007538,0.6362316659419521
botswana,balanced_accuracy,31,300,0.49559086641869,0.0314654999002981,0.4353303287950397,0.5528349104129391
botswana,nmi,31,300,0.7431685307286451,0.0254204550158489,0.6905899308779166,0.7885130196384362
botswana,ari,31,300,0.3987360903019916,0.0679783187987893,0.2851864485442553,0.5548225199901252
trento,overall_accuracy,16,300,0.8600919733969768,0.0185354314273704,0.821923320101325,0.8948667910903837
trento,balanced_accuracy,16,300,0.689353129311853,0.024527308535568,0.6451945925413699,0.7383176599503413
trento,nmi,16,300,0.8568951582908775,0.0144976889512317,0.8287918669202212,0.8825896531008055
trento,ari,16,300,0.9447906770635572,0.0138548765047952,0.9134720500963314,0.966436134802394
