dataset,display_name,budget,method,requested_clusters,n_repeats,overall_accuracy_mean,overall_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,kappa_mean,kappa_std,nmi_mean,nmi_std,ami_mean,ami_std,ari_mean,ari_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std,v_measure_mean,v_measure_std,n_pred_clusters_labeled_mean,n_pred_clusters_labeled_std,runtime_seconds_mean,runtime_seconds_std,peak_rss_mb_mean,peak_rss_mb_std
botswana,Botswana,evaluated_support,minibatch_kmeans,21,5,0.5294950738916256,0.017047033176476097,0.5439155926200724,0.015526783479064932,0.49864665505750744,0.017698281912557172,0.6283740396484699,0.005901666896811479,0.6229294566406409,0.005978685381333855,0.4205698473462419,0.010941458814258852,0.660860299428756,0.006587559197777976,0.5989446919817049,0.006122622996726951,0.62837403964847,0.005901666896811469,20.0,0.0,0.7310484400019049,0.09841843810047589,906.1466112,0.06720436404874207
botswana,Botswana,full_scene,minibatch_kmeans,38,5,0.4365147783251232,0.018117213944677902,0.46016716049750395,0.02322196590770754,0.409568683578064,0.018608533120833905,0.634663208245898,0.010728486196066745,0.6251982273687109,0.010892563837886405,0.3711240626185723,0.012896977022435465,0.7263438480590864,0.013576299025235099,0.563537220206014,0.008843583097326687,0.6346632082458978,0.01072848619606679,36.4,0.5477225575051661,0.9895258800010197,0.052073365274180446,906.2498304000001,0.6181948299854929
indian_pines,Indian Pines,evaluated_support,minibatch_kmeans,33,5,0.2677919797053371,0.011734368185820793,0.3663162290887163,0.019860451078749522,0.21987714773695766,0.011553600861189603,0.4225786293524412,0.004917925336024526,0.41752328834035807,0.004966205663959608,0.16259064986742955,0.006088806402290283,0.49570287622627623,0.0052694499100300355,0.36827159122016373,0.005306381797525154,0.4225786293524412,0.004917925336024546,33.0,0.0,0.9807730800239369,0.061734015573186966,261.2436992,0.008879916396011716
indian_pines,Indian Pines,full_scene,minibatch_kmeans,35,5,0.25844472631476234,0.011564552915051544,0.3576793003472838,0.008983493255140605,0.21298527460533845,0.011515961600779496,0.4227232019260222,0.00465442868557818,0.4174201083885453,0.004683877506193191,0.15540565339184656,0.0057076630055871765,0.5019099970996928,0.004789081906170549,0.3651206204377545,0.004496607464868052,0.4227232019260222,0.004654428685578175,35.0,0.0,0.9110143799916841,0.027333639769063937,261.24533759999997,0.03988082342177917
ksc,KSC,evaluated_support,minibatch_kmeans,31,5,0.4347342160813663,0.01799307859795427,0.38966207913430384,0.020007067673670463,0.3906545001584416,0.018194422326563903,0.5635276826462434,0.014199507163858559,0.5591464945728459,0.014525494507687845,0.3475518450414726,0.028469586617743736,0.5983529451523222,0.013573862543565053,0.5327298723281602,0.01861118881449503,0.5635276826462434,0.014199507163858543,23.2,1.9235384061671343,0.961927420005668,0.04410418031848277,431.2735744,0.23055423104510142
ksc,KSC,full_scene,minibatch_kmeans,720,5,0.10374208405296488,0.0054254258627351865,0.10453342315363293,0.006291783532561,0.09297063684519438,0.004936490372711646,0.47562471726089817,0.0027525603065177637,0.4146454167644036,0.00557623195536091,0.0729212870358805,0.006627399806261579,0.7791731505514997,0.0022757819020031433,0.3422922882660262,0.003227360787110589,0.47562471726089817,0.0027525603065177897,387.0,19.570385790780925,17.137773659999947,1.203254915012649,654.7120128,1.9866875208555672
pavia_university,Pavia University,evaluated_support,minibatch_kmeans,76,5,0.2068730129044324,0.009819388565482144,0.3338333969716819,0.020737048177168402,0.16908948849427116,0.008296023639592365,0.4465362803769593,0.0030710306657591503,0.44512684915679046,0.0030870231065010588,0.09549268277155414,0.002762349538413201,0.7015943445710533,0.0028948444401457607,0.3274883887472261,0.0029650168088720856,0.4465362803769592,0.0030710306657591876,75.2,0.8366600265340756,2.2697205800097437,0.13236378279207497,222.39559679999996,50.35787245143054
pavia_university,Pavia University,full_scene,minibatch_kmeans,207,5,0.11629885917336824,0.00741171890408831,0.21449690769853316,0.017674065601465585,0.09612915241258098,0.006434221085212535,0.39923872480779715,0.0017262934651148083,0.39582255815091055,0.001727312192130849,0.04296532603377997,0.0009045671473713869,0.7343787512105293,0.0016804289358252095,0.27413628723012284,0.0015029887003813744,0.3992387248077971,0.001726293465114794,197.8,2.280350850198276,5.995393000007607,0.7025630552121815,295.4969088,1.5323348955483629
salinas_a,Salinas-A,evaluated_support,minibatch_kmeans,6,5,0.800149588631264,0.05676403210288241,0.8370363304714932,0.06831945783661499,0.7544216434254298,0.07065402541207752,0.7861905236315737,0.04247776981949951,0.785893214249953,0.04253563215662054,0.7075873240124284,0.07546548304671294,0.7844155594500496,0.039865990845248424,0.7879915699685988,0.0451290357948378,0.7861905236315738,0.04247776981949951,6.0,0.0,0.13016864000819622,0.008710055495982874,222.05726719999998,0.007878813311655903
salinas_a,Salinas-A,full_scene,minibatch_kmeans,7,5,0.7793567688855647,0.053295050295608076,0.8227080994337163,0.01914125736175381,0.7345571259919297,0.057049000801753576,0.7913366789319115,0.019480279585420743,0.7910006142806566,0.019507697802241455,0.7119342096323048,0.06558398519451483,0.8184401320389034,0.012926516550419867,0.7661633202716887,0.026973577321679498,0.7913366789319114,0.01948027958542072,7.0,0.0,0.8107471799943596,0.8897305814419414,221.53953280000002,0.2409235027870908
