dataset,display_name,method,seed,budget,budget_interpretation,requested_clusters,graph_full_scene_clusters,graph_evaluated_support_clusters,status,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters_labeled,full_scene_clusters,runtime_seconds,peak_rss_mb
salinas_a,Salinas-A,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,7,7,6,complete,0.7802916978309649,0.826472833138911,0.7343375342689531,0.8005841159078624,0.8002598001358402,0.7261736761665695,0.8208115857125071,0.781329610514356,0.8005841159078624,7,7,1.9969478000421077,221.319168
salinas_a,Salinas-A,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,7,7,6,complete,0.8012341062079282,0.8464666258530785,0.758809940031331,0.8059495059698849,0.8056324048671993,0.7402345109657604,0.8226404569515611,0.7899223877532872,0.8059495059698849,7,7,1.5413953000097536,221.261824
salinas_a,Salinas-A,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,7,7,6,complete,0.6873597606581899,0.7945516973021606,0.6363609893076128,0.7649452614721709,0.7645745741370432,0.5978802353326093,0.8082942228540686,0.7260092572715723,0.7649452614721709,7,7,0.15185669995844364,221.63456
salinas_a,Salinas-A,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,7,7,6,complete,0.8103964098728497,0.8161716885800012,0.7673051914866447,0.8087138210942996,0.8084055313604229,0.7655227048141393,0.8365946363660349,0.7826314139988609,0.8087138210942995,7,7,0.19169999996665865,221.650944
salinas_a,Salinas-A,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,7,7,6,complete,0.8175018698578908,0.8298776522944306,0.7759719748651074,0.7764906902153395,0.7761307609027774,0.7298599208824453,0.8038597583103455,0.7509239318203673,0.7764906902153395,7,7,0.1718360999948345,221.831168
salinas_a,Salinas-A,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",6,7,6,complete,0.8255422587883321,0.8764456366960999,0.7869700041601116,0.8171331480050966,0.816878259927687,0.7518628560211845,0.8139032038056987,0.8203888301683601,0.8171331480050966,6,6,0.1431694999919273,222.048256
salinas_a,Salinas-A,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",6,7,6,complete,0.825355272999252,0.876152548817264,0.7867264153376328,0.8168138909999725,0.8165585893181334,0.7516897970361713,0.8136824345900979,0.8199695433444915,0.8168138909999726,6,6,0.13418500003172085,222.052352
salinas_a,Salinas-A,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",6,7,6,complete,0.8210545998504114,0.8722843169028985,0.7814993962671838,0.8098208094009525,0.8095557627858231,0.7460120000382304,0.8067197897744981,0.8129457615762243,0.8098208094009525,6,6,0.12150569999357685,222.056448
salinas_a,Salinas-A,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",6,7,6,complete,0.8300299177262528,0.8428886970208515,0.7887871492644116,0.7674105903794762,0.7670864063477517,0.7125924523840775,0.7644820409511192,0.7703616632466983,0.7674105903794763,6,6,0.1280364000122063,222.060544
salinas_a,Salinas-A,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",6,7,6,complete,0.6987658937920718,0.717410452920352,0.6281252520978098,0.7197741793723709,0.7193870528703697,0.5757795145824786,0.7232903281288345,0.7162920515072195,0.7197741793723709,6,6,0.12394660001154989,222.068736
indian_pines,Indian Pines,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,35,35,33,complete,0.24929261391355254,0.3427402723192045,0.20233775819012356,0.4236098308311414,0.418297340205584,0.15110773936669594,0.501766586335951,0.36651957839775295,0.4236098308311414,35,35,0.8984967999858782,261.316608
indian_pines,Indian Pines,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,35,35,33,complete,0.27163625719582396,0.3617828600939048,0.22402364985476197,0.42863991599387247,0.42338548522385117,0.16469250425331836,0.5073231070968359,0.3710863427163974,0.42863991599387247,35,35,0.9195200999965891,261.230592
indian_pines,Indian Pines,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,35,35,33,complete,0.2656844570201971,0.36504209555634815,0.22062050850512538,0.41588111299180053,0.4105367958986774,0.1545097979519308,0.4945110257027833,0.35882586982038345,0.41588111299180053,35,35,0.9009881999809295,261.226496
indian_pines,Indian Pines,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,35,35,33,complete,0.2438286662113377,0.356057187775759,0.1988542177270951,0.4213202040387156,0.41602293459507195,0.15049443213356728,0.5013303677189556,0.3633337113271284,0.4213202040387157,35,35,0.9538134000031278,261.226496
indian_pines,Indian Pines,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,35,35,33,complete,0.26178163723290077,0.36277408599120253,0.21909023874958622,0.4241649457745808,0.41885798601954227,0.1562237932537204,0.504618898643938,0.3658375999271105,0.4241649457745808,35,35,0.882253399991896,261.226496
indian_pines,Indian Pines,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",33,35,33,complete,0.2728071031320129,0.3755063217599149,0.22490657017678595,0.4240158192096576,0.41899545953213374,0.16402154822871112,0.5005526253670081,0.3677804858458549,0.42401581920965764,33,33,0.8966541000409052,261.230592
indian_pines,Indian Pines,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",33,35,33,complete,0.2773929163820861,0.36761076971174567,0.23054780237145966,0.425376556261241,0.420322009489884,0.1687734408238496,0.49682117920186586,0.37189653413904855,0.425376556261241,33,33,0.9415050000534393,261.238784
indian_pines,Indian Pines,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",33,35,33,complete,0.2597326568445702,0.36788100875686625,0.211412423116067,0.419074240248838,0.4139887203634853,0.1588322801448298,0.4886218488760278,0.36685781949207324,0.419074240248838,33,33,0.9897472999873571,261.246976
indian_pines,Indian Pines,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",33,35,33,complete,0.27768562786613327,0.38690518186078404,0.22844466920172812,0.42830844083956704,0.4233150128912062,0.16723804869795317,0.5004746595548942,0.3743315038234444,0.4283084408395671,33,33,1.0385643999907188,261.251072
indian_pines,Indian Pines,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",33,35,33,complete,0.25134159430188313,0.33367786335427074,0.20407427381874765,0.41611809020290236,0.41099523942508115,0.15408793144180413,0.49204406813158513,0.36049161280039743,0.41611809020290236,33,33,1.0373946000472642,261.251072
ksc,KSC,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,720,720,31,complete,0.10631356745346382,0.10834207971300837,0.09548582043768306,0.47312204214197756,0.4097064704621814,0.06862795194161002,0.7810147808749303,0.3393449869862953,0.47312204214197756,406,719,18.795635399990715,651.558912
ksc,KSC,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,720,720,31,complete,0.10842448666282863,0.1114481402121407,0.09735747189912836,0.4773292432363752,0.4180000695015963,0.0738290970049735,0.7790677460089634,0.3440689004634802,0.4773292432363752,376,720,16.41945659997873,655.695872
ksc,KSC,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,720,720,31,complete,0.10765687967760507,0.10689313082052823,0.09646964226146759,0.4782264105025789,0.4189462652526395,0.0801523412199716,0.7780777308614202,0.34519648570619627,0.478226410502579,376,720,16.931849500047974,656.125952
ksc,KSC,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,720,720,31,complete,0.0957589714066398,0.09955317285430357,0.08610105488935971,0.4721988247678251,0.4075189752676673,0.0640432843325101,0.7816730985636511,0.33827247156929335,0.4721988247678251,410,720,15.718513800005894,656.228352
ksc,KSC,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,720,720,31,complete,0.10055651506428709,0.09643059216818367,0.08943919473833317,0.4772470656557341,0.4190553033379333,0.0779537606803372,0.7760323964485333,0.3445785966048659,0.4772470656557341,367,720,17.823412999976426,653.950976
ksc,KSC,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",31,720,31,complete,0.4296680099788908,0.3557863064916822,0.38307077714017346,0.5753932896345136,0.5716441766992556,0.35865990981753176,0.5952661028372852,0.556804507385708,0.5753932896345135,20,31,0.9649126000003889,430.903296
ksc,KSC,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",31,720,31,complete,0.4384954903089618,0.3928725555110196,0.3966086839453218,0.5525877635309159,0.5476729385185162,0.33472289914652603,0.5914546764319164,0.5185140766403166,0.552587763530916,25,31,0.9368128000060096,431.214592
ksc,KSC,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",31,720,31,complete,0.40625599692957204,0.3946667756918314,0.3625601379284932,0.5459131423237915,0.5413695719782301,0.30465181891369847,0.5809746757308947,0.5148426442052716,0.5459131423237915,23,31,0.9336530999862589,431.337472
ksc,KSC,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",31,720,31,complete,0.44905008635578586,0.409162301048215,0.405257117460358,0.5649259363089367,0.5604596661242754,0.3621755057908221,0.610711244378044,0.5255269357601626,0.5649259363089366,24,31,0.9367738000000827,431.43168
ksc,KSC,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",31,720,31,complete,0.4502014968336212,0.39582245692877116,0.40577578431786177,0.578818281433059,0.5745861195439521,0.3775490915387845,0.6133580263834706,0.5479611976493417,0.5788182814330591,24,31,1.0374848000355996,431.480832
pavia_university,Pavia University,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,207,207,76,complete,0.11333458013839537,0.20352385313977883,0.09463210308701164,0.3972783541449306,0.39388117089388186,0.04260373981706694,0.7324253729730159,0.2725592652483265,0.3972783541449306,195,207,6.117314200033434,292.859904
pavia_university,Pavia University,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,207,207,76,complete,0.12256873012904432,0.21792637190334488,0.10017036131952617,0.39811917755714515,0.3947116146392655,0.04287501112295068,0.732908564155094,0.27328417609139316,0.3981191775571451,196,207,7.146437800023705,295.60832
pavia_university,Pavia University,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,207,207,76,complete,0.10501215634935478,0.19196263743484407,0.08581174983535778,0.3995385261098245,0.3960734744056796,0.04223179820216324,0.7356291226578905,0.2742435080395443,0.39953852610982443,200,207,5.817976500024088,295.95648
pavia_university,Pavia University,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,207,207,76,complete,0.11779970076678511,0.22067048289674218,0.0977393920769718,0.4018265961876658,0.3984365932823986,0.044531020865888955,0.7346306581863823,0.27654537673549756,0.40182659618766575,198,207,5.486473799974192,296.329216
pavia_university,Pavia University,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,207,207,76,complete,0.12277912848326164,0.23840119311795593,0.1022921557440375,0.39943097003941963,0.39600993753332714,0.04258506016083005,0.7363000380802639,0.27404911003585286,0.39943097003941963,200,207,5.408762699982617,296.730624
pavia_university,Pavia University,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",76,207,76,complete,0.20207593042827754,0.30662978611528313,0.16419711362943556,0.4464304419302148,0.44503672553195145,0.0978573250307233,0.700847781193852,0.32753188406412187,0.4464304419302147,75,76,2.240878899989184,296.050688
pavia_university,Pavia University,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",76,207,76,complete,0.19300542360201983,0.3274701479621335,0.15749178570085687,0.4460184175893934,0.4445989182804203,0.09270037622148249,0.699184667830535,0.3274520276412126,0.4460184175893934,76,76,2.3511647000559606,254.19776
pavia_university,Pavia University,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",76,207,76,complete,0.20803721713110154,0.35015365642826235,0.1721298791587399,0.44179432436362215,0.44035849739709176,0.09226541154613636,0.7004709169455199,0.3226449241793779,0.4417943243636221,76,76,2.2318854000186548,187.04384
pavia_university,Pavia University,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",76,207,76,complete,0.2184402468674023,0.3586508289106484,0.1787437496384361,0.44975026249768313,0.4483623384913432,0.09746021235432326,0.7066269911599558,0.3298437444753976,0.4497502624976832,74,76,2.0875868999864906,187.53536
pavia_university,Pavia University,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",76,207,76,complete,0.21280624649336077,0.3262625654420824,0.17288491434388742,0.4486879555038827,0.44727776608314546,0.0971800887051053,0.7008413657254041,0.3299693633760207,0.4486879555038827,75,76,2.437086999998428,187.150336
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,110,110,77,complete,0.15667197934898455,0.15157732006745517,0.12157039313432427,0.4786381274584342,0.47825315726602297,0.16446969564855257,0.8324096808935929,0.33588713040688567,0.47863812745843415,110,110,4.0368776000104845,545.394688
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,110,110,77,complete,0.11517438961191345,0.138893545587031,0.09084287281315451,0.46701101692891406,0.4666265597490775,0.11126938042146985,0.8311844353702871,0.3247331225373144,0.46701101692891395,110,110,3.623581900028512,552.38656
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,110,110,77,complete,0.15775244204124336,0.15275991259952287,0.122330197582327,0.48138358695483685,0.48099939487917626,0.172042556618342,0.8343023301418995,0.3382853095442006,0.4813835869548368,110,110,3.4782071000081487,552.79616
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,110,110,77,complete,0.15218879252182926,0.155046626862534,0.1185222468230428,0.48065566725742825,0.4802732294187754,0.16190626364044927,0.8373476890673848,0.33707079299684534,0.48065566725742825,110,110,3.5713925000163727,553.148416
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,110,110,77,complete,0.12666347253864732,0.13540899143922486,0.09855000437987049,0.46794177284910776,0.46755734220044587,0.12041106841492226,0.8298767230759514,0.3258350238894728,0.4679417728491078,110,110,3.233157000038773,553.238528
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",77,110,77,complete,0.20091228207409725,0.18928126878370585,0.15688120495025248,0.5045668825226287,0.5042980574204635,0.21089873413604884,0.8285383267127269,0.36273271699247434,0.5045668825226287,77,77,2.639279199996963,553.365504
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",77,110,77,complete,0.18781472753762063,0.19026441421152557,0.14785909967464073,0.4913178468728868,0.4910449832205648,0.17075908865700445,0.8176174600959767,0.3511706044341791,0.4913178468728868,77,77,2.9226570000173524,553.619456
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",77,110,77,complete,0.17110911206500376,0.18461317528701582,0.13461202763723978,0.500392219414551,0.5001212383496036,0.19798214822337595,0.8230861938631191,0.35946330605767784,0.500392219414551,77,77,2.700850699970033,553.680896
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",77,110,77,complete,0.18984853966422544,0.18564929723040796,0.1489908703042555,0.5031171924790311,0.5028461068594815,0.20932850593302776,0.8236368792083699,0.3621758478044396,0.503117192479031,77,77,2.90424979996169,553.807872
whu_hi_longkou,WHU-Hi LongKou,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",77,110,77,complete,0.1754602966627881,0.17199903202196629,0.13685210530094905,0.4949592816013121,0.49468696307271365,0.18325053162480048,0.8194544612498493,0.35455808275501133,0.4949592816013121,77,77,3.117221700027585,553.918464
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,46,46,46,complete,0.2233994409001456,0.27653283785201754,0.1908722567336415,0.4264225105121829,0.426181426444899,0.1287760845955508,0.5586609525637882,0.3448050581228145,0.42642251051218294,46,46,2.793540099984966,944.2304
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,46,46,46,complete,0.22723969660686902,0.28588287984852345,0.19754254179903574,0.4221307652277615,0.42188885719705127,0.1263119546360841,0.5552238639173578,0.34050748024639904,0.42213076522776155,46,46,2.7802400999935344,949.026816
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,46,46,46,complete,0.20839270428996645,0.27986384783835155,0.17877472816624118,0.4140491139808842,0.4138039688048301,0.11879868808897308,0.5449677527545139,0.33384814075926594,0.4140491139808842,46,46,2.6402759000193328,949.276672
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,46,46,46,complete,0.23443144820309653,0.2896260325343788,0.20266627089524591,0.4229874276273192,0.4227460748395929,0.1294705132560918,0.5566197592352746,0.34109735160359034,0.4229874276273192,46,46,2.7843202999792993,949.342208
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,46,46,46,complete,0.21837995515822628,0.2830807398577085,0.19047424522568301,0.42143659239322084,0.4211955291610889,0.1178951704990311,0.5567144306287076,0.33904978875759606,0.4214365923932209,46,46,2.7493225999642164,949.559296
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",46,46,46,complete,0.2233994409001456,0.27653283785201754,0.1908722567336415,0.4264225105121829,0.426181426444899,0.1287760845955508,0.5586609525637882,0.3448050581228145,0.42642251051218294,46,46,2.9254381000064313,949.71904
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",46,46,46,complete,0.22723969660686902,0.28588287984852345,0.19754254179903574,0.4221307652277615,0.42188885719705127,0.1263119546360841,0.5552238639173578,0.34050748024639904,0.42213076522776155,46,46,3.0798242000164464,949.776384
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",46,46,46,complete,0.20839270428996645,0.27986384783835155,0.17877472816624118,0.4140491139808842,0.4138039688048301,0.11879868808897308,0.5449677527545139,0.33384814075926594,0.4140491139808842,46,46,3.1467050000210293,949.981184
