metric,method,datasets,average_rank,rank_std,scope
OA,Graph-RMS,9,2.0,1.4142135623730951,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,PCA-KMeans,9,3.4444444444444446,1.0137937550497031,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,MiniBatch-KMeans,9,3.7777777777777777,1.2018504251546631,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,FCM,9,4.222222222222222,2.048034287907418,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,SLIC-KMeans,9,2.7777777777777777,1.3944333775567928,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,DLSS,9,5.111111111111111,2.088327347690278,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
OA,S2DL,9,6.666666666666667,0.7071067811865476,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,Graph-RMS,9,2.4444444444444446,1.740051084818425,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,PCA-KMeans,9,3.3333333333333335,1.5,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,MiniBatch-KMeans,9,3.2222222222222223,0.6666666666666666,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,FCM,9,3.5555555555555554,1.6666666666666667,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,SLIC-KMeans,9,2.5555555555555554,1.509230856356236,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,DLSS,9,6.777777777777778,0.4409585518440984,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
BA,S2DL,9,6.111111111111111,0.6009252125773316,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,Graph-RMS,9,1.0,0.0,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,PCA-KMeans,9,3.7777777777777777,1.2018504251546631,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,MiniBatch-KMeans,9,3.888888888888889,0.927960727138337,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,FCM,9,4.333333333333333,1.5811388300841898,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,SLIC-KMeans,9,2.7777777777777777,1.092906420717,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,DLSS,9,6.222222222222222,1.6414763002993507,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
NMI,S2DL,9,6.0,0.8660254037844386,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,Graph-RMS,9,1.7777777777777777,1.3944333775567925,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,PCA-KMeans,9,3.5555555555555554,1.2360330811826103,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,MiniBatch-KMeans,9,3.5555555555555554,0.8819171036881968,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,FCM,9,4.0,1.8027756377319946,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,SLIC-KMeans,9,2.6666666666666665,1.414213562373095,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,DLSS,9,6.111111111111111,1.615893285805443,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
ARI,S2DL,9,6.333333333333333,0.5,descriptive seven-method rank; no omnibus inference because modern rows are adapted single-run comparisons
