dataset,dataset_display,method,uses_true_k,n_repeats,n_clusters_full,overall_accuracy_mean,overall_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,nmi_mean,nmi_std,ari_mean,ari_std,fidelity,runtime_seconds_external_mean,peak_host_memory_mb_mean
botswana,botswana,DLSS,True,1,,0.1945812807881773,0.0,0.1560948703805846,0.0,0.2336170696499221,0.0,0.037522363525722,0.0,matched-superpixel-adaptation+declared-dependency-fill,4.069743235000033,902.73792
botswana,botswana,S2DL,True,1,,0.1930418719211822,0.0,0.1847303858599832,0.0,0.2488816271162683,0.0,0.0832952006757495,0.0,official-superpixel+declared-octave-and-propagation-shims,135.65210298599993,305.504256
indian_pines,indian_pines,DLSS,True,1,,0.4368231046931408,0.0,0.3021158793222159,0.0,0.5416164371163689,0.0,0.2433631880943811,0.0,matched-superpixel-adaptation+declared-dependency-fill,0.3132933540000522,89.051136
indian_pines,indian_pines,S2DL,True,1,,0.3712557322665626,0.0,0.3384166162213456,0.0,0.4527136627804508,0.0,0.2028804577739838,0.0,official-superpixel+declared-octave-and-propagation-shims,1.0039811009999084,102.576128
ksc,ksc,DLSS,True,1,,0.1871042026482441,0.0,0.0998566650740563,0.0,0.0256892808183766,0.0,0.0030585039091567,0.0,matched-superpixel-adaptation+declared-dependency-fill,9.930158861999985,626.786304
ksc,ksc,S2DL,True,1,,0.1838418729610439,0.0,0.1960279477237477,0.0,0.223529807999202,0.0,0.0841491490143713,0.0,official-superpixel+declared-octave-and-propagation-shims,96.74786653699994,280.39168
pavia_university,pavia_university,DLSS,True,1,,0.4393117636057602,0.0,0.1229244114002478,0.0,0.021591698613666,0.0,0.0063061559264257,0.0,matched-superpixel-adaptation+declared-dependency-fill,1.2329524570000103,187.342848
pavia_university,pavia_university,S2DL,True,1,,0.284365064522162,0.0,0.1974218459335571,0.0,0.1394971294599647,0.0,-0.0215704759544849,0.0,official-superpixel+declared-octave-and-propagation-shims,32.78595249700015,205.930496
salinas_a,salinas_a,DLSS,True,1,,0.6303290949887809,0.0,0.6446098273354581,0.0,0.6854192729778098,0.0,0.5135901979362584,0.0,matched-superpixel-adaptation+declared-dependency-fill,0.2808553519998895,90.226688
salinas_a,salinas_a,S2DL,True,1,,0.462602842183994,0.0,0.3270804837235588,0.0,0.3136530267439736,0.0,0.1679440653326618,0.0,official-superpixel+declared-octave-and-propagation-shims,0.5243656689999625,97.562624
trento,trento,DLSS,True,1,,0.3398424571390746,0.0,0.1667596512238008,0.0,0.0214594061908388,0.0,-0.0008199841010926,0.0,matched-superpixel-adaptation+declared-dependency-fill,0.4186488290001762,101.654528
trento,trento,S2DL,True,1,,0.3663533461309327,0.0,0.2072167559610485,0.0,0.0642768327543256,0.0,0.0485111357687342,0.0,official-superpixel+declared-octave-and-propagation-shims,2.446359890000167,148.410368
whu_hi_hanchuan,whu_hi_hanchuan,DLSS,True,1,,0.3149186502543393,0.0,0.0975327202527759,0.0,0.0717437736072078,0.0,0.0149670461128119,0.0,matched-superpixel-adaptation+declared-dependency-fill,16.18106690500008,957.661184
whu_hi_hanchuan,whu_hi_hanchuan,S2DL,True,1,,0.1642488253795674,0.0,0.1515280419401682,0.0,0.1317989940244635,0.0,0.0342115359580563,0.0,official-superpixel+declared-octave-and-propagation-shims,136.02881183599993,305.70496
whu_hi_honghu,whu_hi_honghu,DLSS,True,1,,0.4375227893962394,0.0,0.0986133356806936,0.0,0.1058595706433431,0.0,0.0296690252671869,0.0,matched-superpixel-adaptation+declared-dependency-fill,21.741899170000124,1168.027648
whu_hi_honghu,whu_hi_honghu,S2DL,True,1,,0.1967012591383862,0.0,0.156047285717559,0.0,0.2180049087025118,0.0,0.1231503018998801,0.0,official-superpixel+declared-octave-and-propagation-shims,166.336888477,351.813632
whu_hi_longkou,whu_hi_longkou,DLSS,True,1,,0.3465694087277918,0.0,0.1860380085646166,0.0,0.1166976541316014,0.0,0.0425817079167765,0.0,matched-superpixel-adaptation+declared-dependency-fill,1.9449514819998512,232.390656
whu_hi_longkou,whu_hi_longkou,S2DL,True,1,,0.209326201953633,0.0,0.1328868293458837,0.0,0.0242788449926074,0.0,-0.0033047727477398,0.0,official-superpixel+declared-octave-and-propagation-shims,46.78569838599992,216.86272
