dataset,method,seed,uses_true_k,uses_labels_for_selection,selected_resolution,runtime_seconds,peak_rss_mb,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters,tiny_cluster_pixel_fraction,n_clusters_full,n_clusters_labeled,preprocessing,implementation,min_cluster_size,min_samples,cluster_selection_method,noise_fraction_full,noise_fraction_labeled,n_clusters_full_excluding_noise,n_clusters_labeled_excluding_noise
salinas_a,Leiden,3,False,False,0.06,0.4180320909999864,300.670976,0.87471952131638,0.9014420015265908,0.8485657560633013,0.917903770501942,0.917702646444649,0.8740998623602404,0.9832662080254395,0.8606895907189657,0.917903770501942,11,0.00037397157816005983,13,11,,,,,,,,,
salinas_a,Leiden,1,False,False,0.06,0.41890516000000844,300.224512,0.8726626776364996,0.9000768985233644,0.8461755621579485,0.9176721706346763,0.9174705192528834,0.8733432288822675,0.9832101631559426,0.860325331424081,0.9176721706346764,11,0.00037397157816005983,13,11,,,,,,,,,
salinas_a,Leiden,0,False,False,0.06,0.41808891499999845,300.212224,0.8756544502617801,0.902062502891694,0.8496531947713223,0.9180152738901931,0.9178144035581772,0.8744636443186888,0.9832920633408171,0.8608658653543035,0.9180152738901931,11,0.00037397157816005983,13,11,,,,,,,,,
salinas_a,Leiden,2,False,False,0.06,0.4174737300000402,300.658688,0.8726626776364996,0.9000768985233644,0.8461755621579485,0.9176721706346763,0.9174705192528834,0.8733432288822675,0.9832101631559426,0.860325331424081,0.9176721706346764,11,0.00037397157816005983,13,11,,,,,,,,,
salinas_a,Leiden,4,False,False,0.06,0.41332901799995625,300.675072,0.8745325355272999,0.9011947216057205,0.8483389336017202,0.9173790663561787,0.9171766553670949,0.8737682744871164,0.9826970493625806,0.8602030255400154,0.9173790663561787,11,0.00037397157816005983,13,11,,,,,,,,,
whu_hi_honghu,Leiden,3,False,False,0.1,37.81091006099996,1688.428544,0.3621865407442079,0.5398512472357636,0.3318414236476793,0.6108861309206809,0.610758553947281,0.18082176671640346,0.7674756377168672,0.5073670678789641,0.6108861309206809,37,0.0004861737864404062,39,37,,,,,,,,,
whu_hi_honghu,Leiden,1,False,False,0.1,37.35760739699981,1543.0656,0.36344852376432984,0.5367859678158764,0.3338603023276827,0.6170408156894296,0.6169122343957661,0.1816033077684538,0.7794554458790329,0.5106392445614953,0.6170408156894297,38,0.0004861737864404062,40,38,,,,,,,,,
whu_hi_honghu,Leiden,0,False,False,0.1,37.497588404,1543.0656,0.3696860300031291,0.5136379967411576,0.3381113607991286,0.6122087604686876,0.612085158761372,0.17529368271847312,0.7676228450936832,0.5091296083304923,0.6122087604686874,36,0.0004861737864404062,38,36,,,,,,,,,
whu_hi_honghu,Leiden,2,False,False,0.1,37.92453773999978,1691.89376,0.36784736211930397,0.5164576556005976,0.338391184274777,0.6166087300751169,0.6164828775528136,0.17883008949425439,0.7738692683092347,0.5124683405289531,0.6166087300751167,37,0.005022071772698239,39,37,,,,,,,,,
whu_hi_honghu,Leiden,4,False,False,0.1,37.77314903000024,1641.394176,0.36257185933026975,0.5424021722158261,0.3350171758857692,0.6197239400041376,0.6195957216009849,0.16904522696907828,0.7865938005250067,0.5112633330036594,0.6197239400041377,38,0.0005016899711140362,40,38,,,,,,,,,
ksc,Leiden,3,False,False,0.32,28.33149243400021,1045.880832,0.5377086931491076,0.6002356866262443,0.5112628017441347,0.7715003214673849,0.766071031397645,0.5014336645780594,0.911318221777698,0.6688784509316966,0.7715003214673849,86,0.02475532527345999,13930,86,,,,,,,,,
ksc,Leiden,1,False,False,0.32,28.227196561999904,1010.372608,0.5451928612550374,0.6114334374637219,0.5182435266339995,0.7655456453355208,0.7602379623204171,0.5185747793549248,0.8860848026018682,0.6738746434355198,0.7655456453355208,81,0.024563423527154096,13936,81,,,,,,,,,
ksc,Leiden,0,False,False,0.32,28.143378015000053,1002.88512,0.5369410861638841,0.6038721551144344,0.5103792652377048,0.7692681367732602,0.7638567021664229,0.4986277450483501,0.9078444144628298,0.6673948503037839,0.7692681367732602,84,0.024563423527154096,13936,84,,,,,,,,,
