study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
profile,salinas_a,repeat_1,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.7914718560000438,0.1189396739998756,0.4992994639999324,0.4193644790000235,1.8518105779999128,1426.112512,253.323264,306.184192
profile,salinas_a,repeat_2,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.43377686000008,0.1226101160000325,0.048805350000066,0.2501991750000343,0.8801037050000105,1505.980416,253.323264,306.184192
profile,salinas_a,repeat_3,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.4752734630001214,0.121499588000006,0.049875479999855,0.227084017999914,0.8977297250000902,1537.601536,253.323264,306.184192
profile,indian_pines,repeat_1,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.9677417420000438,0.2713312079999923,0.0474753060000239,0.3289222400001108,1.6566929350001374,1957.96992,716.41088,878.706688
profile,indian_pines,repeat_2,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.8870919139999387,0.2703312990001905,0.0450992519999999,0.3235890060000201,1.5672646559999066,2004.803584,716.41088,878.706688
profile,indian_pines,repeat_3,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.9007799450000676,0.2716478140000617,0.0452032329999383,0.317143852000072,1.5758174909999525,1985.527808,716.41088,878.706688
profile,ksc,repeat_1,20,20,7,True,4,True,0.5,100,0.0125,3,3.0,30,0.5,False,False,cuda,512,614,176,314368,4677650,4,16.0,20.0,23,0,0.5655688047409058,5.0,0.0355857387185096,4073,0.4667050470159278,0.3831871852782423,0.632117682305619,0.3197557524822433,0.47575705417873,686,0.3445261604234527,0.4084903757045598,0.0024016439332247,0.4636346190750335,0.3749312646853883,0.6315225880924152,0.3227936720952384,31,14.73145496699999,3.23186329400005,0.7598503479998726,8.292532698000059,27.042395728999963,3993.174016,10517.508096,12429.819904
profile,ksc,repeat_2,20,20,7,True,4,True,0.5,100,0.0125,3,3.0,30,0.5,False,False,cuda,512,614,176,314368,4677650,4,16.0,20.0,23,0,0.5655688047409058,5.0,0.0355857387185096,4073,0.4667050470159278,0.3831871852782423,0.632117682305619,0.3197557524822433,0.47575705417873,686,0.3445261604234527,0.4084903757045598,0.0024016439332247,0.4636346190750335,0.3749312646853883,0.6315225880924152,0.3227936720952384,31,9.112950762000082,3.2338593500001025,0.7651385920000848,8.360826008999993,21.499385707999863,4006.567936,10517.508096,12429.819904
profile,ksc,repeat_3,20,20,7,True,4,True,0.5,100,0.0125,3,3.0,30,0.5,False,False,cuda,512,614,176,314368,4677650,4,16.0,20.0,23,0,0.5655688047409058,5.0,0.0355857387185096,4073,0.4667050470159278,0.3831871852782423,0.632117682305619,0.3197557524822433,0.47575705417873,686,0.3445261604234527,0.4084903757045598,0.0024016439332247,0.4636346190750335,0.3749312646853883,0.6315225880924152,0.3227936720952384,31,9.14561830399998,3.222135791000028,0.762676220000003,8.332710685000166,21.48963979600012,3972.190208,10517.508096,12429.819904
profile,pavia_university,repeat_1,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,692,0.6193659996259585,0.452529445723617,0.6602410127948348,0.5116910136861955,0.7410549438027063,207,0.3919816779170684,0.6274386589478156,0.0003760848601735,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918,76,6.209556306000195,1.2142142069999409,0.3376113560000249,3.4586508330000925,11.337434833000088,3021.254656,6944.055808,7767.851008
