dataset,label_free_signal,metric,spearman_rho,pvalue_descriptive_only,candidate_settings
salinas_a,adjacent_stability,OA,-0.3379514351182213,0.2179560663599683,15
salinas_a,adjacent_stability,BA,-0.3305645185036153,0.2288211906156525,15
salinas_a,adjacent_stability,NMI,-0.4270528078814428,0.1123700594922755,15
salinas_a,adjacent_stability,ARI,-0.412452711885496,0.1265610714430233,15
salinas_a,largest_cluster_penalty,OA,-0.8374832859295356,5.1647655363197394e-05,16
salinas_a,largest_cluster_penalty,BA,-0.6436552765222632,0.0071361008565471,16
salinas_a,largest_cluster_penalty,NMI,-0.8141382581892225,0.0001237356018711,16
salinas_a,largest_cluster_penalty,ARI,-0.7709096781083787,0.0004726037818155,16
salinas_a,normalized_entropy,OA,0.9759782916681644,1.1615716657964791e-10,16
salinas_a,normalized_entropy,BA,0.9126226684068618,8.255197979909757e-07,16
salinas_a,normalized_entropy,NMI,1.0,0.0,16
salinas_a,normalized_entropy,ARI,0.976225854383358,1.0810310761284223e-10,16
salinas_a,microcluster_penalty,OA,0.9764487250857928,1.0126543278455115e-10,16
salinas_a,microcluster_penalty,BA,0.8912756275705213,3.596610046963334e-06,16
salinas_a,microcluster_penalty,NMI,0.9917939679633864,6.575052294000205e-14,16
salinas_a,microcluster_penalty,ARI,0.9498449783818534,1.8740278640462308e-08,16
salinas_a,compression,OA,0.9850290949912076,4.344650836987487e-12,16
salinas_a,compression,BA,0.8794363895557029,7.177492987366119e-06,16
salinas_a,compression,NMI,0.9910846953937594,1.1724887220705133e-13,16
salinas_a,compression,ARI,0.9554234769687964,8.333000372168474e-09,16
indian_pines,adjacent_stability,OA,-0.8968688630202681,5.906929183323664e-06,15
indian_pines,adjacent_stability,BA,0.2374064637406592,0.3942239093099109,15
indian_pines,adjacent_stability,NMI,0.8464285714285712,6.923823609737207e-05,15
indian_pines,adjacent_stability,ARI,0.7178571428571427,0.0025811653082188,15
indian_pines,largest_cluster_penalty,OA,-0.9465828535043886,2.887632986181505e-08,16
indian_pines,largest_cluster_penalty,BA,0.355733353071363,0.176297702789769,16
indian_pines,largest_cluster_penalty,NMI,0.8993461677306268,2.1429907960081617e-06,16
indian_pines,largest_cluster_penalty,ARI,0.8993461677306268,2.1429907960081617e-06,16
indian_pines,normalized_entropy,OA,0.8489474743100541,3.195965207646439e-05,16
indian_pines,normalized_entropy,BA,-0.0974717470504136,0.7195074935683585,16
indian_pines,normalized_entropy,NMI,-0.8441176470588234,3.930242737399878e-05,16
indian_pines,normalized_entropy,ARI,-0.5882352941176471,0.0165397221953781,16
indian_pines,microcluster_penalty,OA,0.9086802236165248,1.112316916848528e-06,16
indian_pines,microcluster_penalty,BA,-0.1836524177783838,0.4959684259370519,16
indian_pines,microcluster_penalty,NMI,-0.8918199175454173,3.477641463653419e-06,16
indian_pines,microcluster_penalty,ARI,-0.6408555186381641,0.0074737580628827,16
indian_pines,compression,OA,0.9322700967886332,1.463918278553089e-07,16
indian_pines,compression,BA,-0.3002758659133709,0.2584772918464927,16
indian_pines,compression,NMI,-0.9058823529411764,1.36351335532699e-06,16
indian_pines,compression,ARI,-0.65,0.0064157065211752,16
ksc,adjacent_stability,OA,0.0768384653920084,0.7545424551853183,19
ksc,adjacent_stability,BA,0.0768384653920084,0.7545424551853183,19
ksc,adjacent_stability,NMI,-0.1868999253231655,0.443581538005047,19
ksc,adjacent_stability,ARI,-0.7171545133264842,0.0005485079837096,19
ksc,largest_cluster_penalty,OA,-0.0906964481363575,0.7037410121557353,20
ksc,largest_cluster_penalty,BA,-0.0906964481363575,0.7037410121557353,20
ksc,largest_cluster_penalty,NMI,-0.4355758673430012,0.0549024506185823,20
ksc,largest_cluster_penalty,ARI,-0.911840112152932,2.2108198547083303e-08,20
ksc,normalized_entropy,OA,0.7498591961350185,0.000140719705024,20
ksc,normalized_entropy,BA,0.7498591961350185,0.000140719705024,20
ksc,normalized_entropy,NMI,0.6545565625639267,0.0017391183918783,20
ksc,normalized_entropy,ARI,0.3776468512359651,0.1006749148875685,20
ksc,microcluster_penalty,OA,0.1216420467582954,0.6094379521306668,20
ksc,microcluster_penalty,BA,0.1216420467582954,0.6094379521306668,20
ksc,microcluster_penalty,NMI,0.5172741317133233,0.0195058276480589,20
ksc,microcluster_penalty,ARI,0.98751606059082,6.685603519650788e-16,20
ksc,compression,OA,0.1216420467582954,0.6094379521306668,20
ksc,compression,BA,0.1216420467582954,0.6094379521306668,20
ksc,compression,NMI,0.5172741317133233,0.0195058276480589,20
ksc,compression,ARI,0.98751606059082,6.685603519650788e-16,20
pavia_university,adjacent_stability,OA,0.1066749270499755,0.6638079266659116,19
pavia_university,adjacent_stability,BA,0.1066749270499755,0.6638079266659116,19
pavia_university,adjacent_stability,NMI,0.1284082901251336,0.6003498850087537,19
pavia_university,adjacent_stability,ARI,0.1284082901251336,0.6003498850087537,19
pavia_university,largest_cluster_penalty,OA,,,20
pavia_university,largest_cluster_penalty,BA,,,20
pavia_university,largest_cluster_penalty,NMI,,,20
pavia_university,largest_cluster_penalty,ARI,,,20
pavia_university,normalized_entropy,OA,0.9790841277408008,6.745030875557486e-14,20
pavia_university,normalized_entropy,BA,0.9790841277408008,6.745030875557486e-14,20
pavia_university,normalized_entropy,NMI,0.981132354897115,2.6877480645296107e-14,20
pavia_university,normalized_entropy,ARI,0.981132354897115,2.6877480645296107e-14,20
pavia_university,microcluster_penalty,OA,0.9166453059910216,1.3591752582818844e-08,20
pavia_university,microcluster_penalty,BA,0.9166453059910216,1.3591752582818844e-08,20
pavia_university,microcluster_penalty,NMI,0.9147998067779872,1.6439168957867883e-08,20
pavia_university,microcluster_penalty,ARI,0.9147998067779872,1.6439168957867883e-08,20
pavia_university,compression,OA,0.9882415786627722,3.910722548590647e-16,20
pavia_university,compression,BA,0.9882415786627722,3.910722548590647e-16,20
pavia_university,compression,NMI,0.9992455676029078,7.49804858546046e-27,20
pavia_university,compression,ARI,0.9992455676029078,7.49804858546046e-27,20
whu_hi_longkou,adjacent_stability,OA,0.2191803671890671,0.5172898279015592,11
whu_hi_longkou,adjacent_stability,BA,0.356168096682234,0.2823374184643414,11
whu_hi_longkou,adjacent_stability,NMI,0.2141235623617564,0.5272397481424833,11
whu_hi_longkou,adjacent_stability,ARI,0.2141235623617564,0.5272397481424833,11
whu_hi_longkou,largest_cluster_penalty,OA,0.7847659850207268,0.0025021389166031,12
whu_hi_longkou,largest_cluster_penalty,BA,0.9432283473806812,4.22051619446698e-06,12
whu_hi_longkou,largest_cluster_penalty,NMI,0.7792393952359694,0.0028119463854866,12
whu_hi_longkou,largest_cluster_penalty,ARI,0.7792393952359694,0.0028119463854866,12
whu_hi_longkou,normalized_entropy,OA,0.8445440585999059,0.0005474129561377,12
whu_hi_longkou,normalized_entropy,BA,0.9929576588559564,1.3481294438888678e-10,12
whu_hi_longkou,normalized_entropy,NMI,0.8526315789473684,0.0004251182452526,12
whu_hi_longkou,normalized_entropy,ARI,0.8526315789473684,0.0004251182452526,12
whu_hi_longkou,microcluster_penalty,OA,-0.6298932384341637,0.0281489962785847,12
whu_hi_longkou,microcluster_penalty,BA,-0.7793594306049823,0.002804921812075,12
