study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
sensitivity,salinas_a,window_radius=3,20,20,3,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,75550,4,11.0,15.0,18,0,2.02267861366272,2.2360680103302,0.0603912509977817,55,0.5841436050860135,0.5786496010364998,0.7521749157916019,0.5467778290154066,0.6340190444792985,13,0.2053796581675539,0.9018262731210804,0.0,0.6093866866118175,0.6937110798494984,0.7917366759098539,0.5696227970855862,12,3.759571803000199,0.1119969349999792,0.4889253919998282,0.3738505100000111,4.757571105000125,1422.360576,253.323264,304.08704
sensitivity,salinas_a,window_radius=5,20,20,5,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,95668,4,14.0,20.0,23,0,1.908965826034546,3.605551242828369,0.0641518831253051,32,0.7793567688855647,0.7370013185358847,0.872788872201168,0.8338486447712911,0.7932768999645287,7,0.3674698795180723,0.8892872197873972,0.0,0.8053477935676888,0.7467251621653485,0.8639098818180042,0.7478310069816573,6,0.3790997610001341,0.1258167270000285,0.0466190439999536,0.2200603569999657,0.7950231500001337,1525.026816,253.323264,306.184192
sensitivity,salinas_a,window_radius=7,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.5204045000000406,0.1211520270001074,0.0473230729999158,0.383130840999911,1.0960342700000183,1571.188736,253.323264,306.184192
sensitivity,salinas_a,window_radius=9,20,20,9,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,92494,4,13.0,19.0,24,0,1.7206826210021973,5.099019527435303,0.048578817397356,65,0.6853029169783097,0.6639834089822522,0.7767176529537559,0.6410408428451899,0.8031755172075099,7,0.344354160829364,0.9012881923165456,0.0,0.8169409124906507,0.7561593923351001,0.8781393283079814,0.763913554847722,6,0.572602962000019,0.1194627760000912,0.0463166280001132,0.4046840470000461,1.1673518739999054,1568.018432,253.323264,306.184192
sensitivity,salinas_a,pca_components=10,10,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93864,4,14.0,20.0,22,0,1.8042690753936768,4.4721360206604,0.0521851703524589,58,0.7255048616305161,0.6992001541811336,0.8101072115093444,0.7268682219175788,0.9399083341455948,7,0.3520594003922667,0.897414835321488,0.0,0.8085265519820494,0.7497613618741554,0.864922878074195,0.7511436038595132,6,0.5147129299998596,0.1192659339999409,0.0465529780001361,0.4458963609999955,1.1504972669999916,1598.779392,253.323264,306.184192
sensitivity,salinas_a,pca_components=20,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.5046653120000428,0.1213355790000605,0.0469984010001098,0.2428637630000594,0.939885004999951,1597.87008,253.323264,306.184192
sensitivity,salinas_a,pca_components=30,30,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93314,4,13.0,20.0,22,0,1.7927154302597046,4.4721360206604,0.0520649775862693,49,0.7165295437546746,0.7157351852865909,0.8092267879518452,0.6937323288708704,0.8930648672766566,7,0.3543009246287475,0.8969736053676921,0.0,0.8089005235602095,0.7497534111458162,0.8772329579088339,0.759951041954804,6,0.4505380860000514,0.123936298999979,0.0469403439999496,0.2230758109999442,0.8674901819999832,1600.249856,253.323264,306.184192
sensitivity,salinas_a,pca_components=40,40,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93372,4,13.0,20.0,22,0,1.7906042337417605,4.4721360206604,0.0520754791796207,50,0.7193343305908751,0.714076051678322,0.8099471521337043,0.7003273697662014,0.9484340283858176,7,0.3554216867469879,0.896126448155505,0.0,0.8066566940912491,0.748264207869569,0.8681740261443879,0.7520825769383881,6,0.4598264240000844,0.1206003209999835,0.0459407000000737,0.2229158659999939,0.8720432950001396,1603.309568,253.323264,306.184192
sensitivity,salinas_a,checkpoint=25,20,20,7,True,4,True,0.5,25,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.1514108479022979,211,0.2470082273747195,0.2319669456276045,0.5538219379988006,0.205104821276426,0.9683864090580414,5,0.4977584757635191,0.8556971974478852,0.0,0.693717277486911,0.5829214721884649,0.7355352637433531,0.5398217373118124,5,0.4290519010000935,0.1203614650000872,0.0179295779998938,0.2257292340000276,0.8160743660000662,1562.013696,253.323264,306.184192
sensitivity,salinas_a,checkpoint=50,20,20,7,True,4,True,0.5,50,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0897615924477577,105,0.5400149588631264,0.5589362884546244,0.6788869217664485,0.4543191121073107,1.010958140219113,5,0.5014009526478005,0.8547296466008846,0.0,0.6808152580403889,0.5795866727074249,0.7677224630595413,0.5483926245217753,5,0.4970233149999785,0.1205679839999902,0.0276069019998885,0.2249166200001582,0.8931518340000366,1529.950208,253.323264,306.184192
